,Scenario,Solution (in number of doctors)
0,"x[M1i,Mon]",1.7857142857142856
1,"x[M1i,Tue]",1.5714285714285714
2,"x[M1i,Wed]",1.2857142857142858
3,"x[M1i,Thu]",1.6428571428571428
4,"x[M1i,Fri]",2.142857142857143
5,"x[M1i,Sat]",0.0
6,"x[M1i,Sun]",0.0
7,"x[M2i,Mon]",1.4000000000000001
8,"x[M2i,Tue]",1.0
9,"x[M2i,Wed]",1.2000000000000002
10,"x[M2i,Thu]",1.8000000000000003
11,"x[M2i,Fri]",2.0
12,"x[M2i,Sat]",2.4000000000000004
13,"x[M2i,Sun]",2.7
14,"x[M3i,Mon]",0.8333333333333333
15,"x[M3i,Tue]",1.5
16,"x[M3i,Wed]",1.8333333333333333
17,"x[M3i,Thu]",1.8333333333333333
18,"x[M3i,Fri]",1.6666666666666665
19,"x[M3i,Sat]",2.1666666666666665
20,"x[M3i,Sun]",2.6666666666666665
21,"x[E1i,Mon]",2.0
22,"x[E1i,Tue]",1.7142857142857142
23,"x[E1i,Wed]",1.5714285714285714
24,"x[E1i,Thu]",1.857142857142857
25,"x[E1i,Fri]",1.7857142857142856
26,"x[E1i,Sat]",0.0
27,"x[E1i,Sun]",0.0
28,"x[E2i,Mon]",1.6
29,"x[E2i,Tue]",1.1
30,"x[E2i,Wed]",1.0
31,"x[E2i,Thu]",1.7000000000000002
32,"x[E2i,Fri]",1.6
33,"x[E2i,Sat]",0.0
34,"x[E2i,Sun]",0.0
35,"x[E3i,Mon]",0.41666666666666663
36,"x[E3i,Tue]",0.5833333333333334
37,"x[E3i,Wed]",0.8333333333333333
38,"x[E3i,Thu]",1.0
39,"x[E3i,Fri]",0.9166666666666666
40,"x[E3i,Sat]",1.25
41,"x[E3i,Sun]",1.25
42,"x[M1n,Mon]",1.0714285714285714
43,"x[M1n,Tue]",0.5714285714285714
44,"x[M1n,Wed]",0.7142857142857142
45,"x[M1n,Thu]",0.5714285714285714
46,"x[M1n,Fri]",0.5
47,"x[M1n,Sat]",0.0
48,"x[M1n,Sun]",0.0
49,"x[M2n,Mon]",0.9000000000000001
50,"x[M2n,Tue]",0.7000000000000001
51,"x[M2n,Wed]",0.9000000000000001
52,"x[M2n,Thu]",0.7000000000000001
53,"x[M2n,Fri]",0.8
54,"x[M2n,Sat]",0.7000000000000001
55,"x[M2n,Sun]",0.6000000000000001
56,"x[M3n,Mon]",1.6666666666666665
57,"x[M3n,Tue]",1.6666666666666665
58,"x[M3n,Wed]",1.5
59,"x[M3n,Thu]",1.6666666666666665
60,"x[M3n,Fri]",1.5
61,"x[M3n,Sat]",1.3333333333333333
62,"x[M3n,Sun]",1.3333333333333333
63,"x[E1n,Mon]",0.8571428571428571
64,"x[E1n,Tue]",0.3571428571428571
65,"x[E1n,Wed]",0.5714285714285714
66,"x[E1n,Thu]",0.42857142857142855
67,"x[E1n,Fri]",0.5
68,"x[E1n,Sat]",0.0
69,"x[E1n,Sun]",0.0
70,"x[E2n,Mon]",1.0
71,"x[E2n,Tue]",0.9000000000000001
72,"x[E2n,Wed]",0.9000000000000001
73,"x[E2n,Thu]",0.6000000000000001
74,"x[E2n,Fri]",0.8
75,"x[E2n,Sat]",0.0
76,"x[E2n,Sun]",0.0
77,"x[E3n,Mon]",0.8333333333333333
78,"x[E3n,Tue]",0.5
79,"x[E3n,Wed]",0.75
80,"x[E3n,Thu]",0.75
81,"x[E3n,Fri]",0.75
82,"x[E3n,Sat]",0.6666666666666666
83,"x[E3n,Sun]",0.6666666666666666
